Tissue,Sample,Gene_A,Gene_B
BLCA,TCGA-4Z-AA80-01A,LRCH1,PHF11
BLCA,TCGA-4Z-AA80-01A,PPFIA1,DYNC2H1
BLCA,TCGA-4Z-AA82-01A,KLHDC4,SLC7A5
BLCA,TCGA-4Z-AA82-01A,MED13L,TAOK3
BLCA,TCGA-4Z-AA84-01A,AC024575.1,CCDC159
BLCA,TCGA-4Z-AA84-01A,AP4B1,C1orf88
BLCA,TCGA-4Z-AA84-01A,CEP170,UBE2Q1
BLCA,TCGA-4Z-AA84-01A,CTNNA1,LARP1
BLCA,TCGA-4Z-AA84-01A,EP300,HAUS8
BLCA,TCGA-4Z-AA84-01A,FAF1,ITGB3BP
BLCA,TCGA-4Z-AA84-01A,FAM91A1,ANXA13
BLCA,TCGA-4Z-AA84-01A,GANC,RORA
BLCA,TCGA-4Z-AA84-01A,MAN2A1,HSPA4
BLCA,TCGA-4Z-AA84-01A,PFKP,CAMK2G
BLCA,TCGA-4Z-AA84-01A,ROCK1,FABP2
BLCA,TCGA-4Z-AA84-01A,SRP68,XIRP2
BLCA,TCGA-4Z-AA84-01A,ZW10,UPK2
BLCA,TCGA-4Z-AA86-01A,PRKCA,NF1
BLCA,TCGA-4Z-AA87-01A,AFF1,PTPN13
BLCA,TCGA-4Z-AA87-01A,ASH1L,GON4L
BLCA,TCGA-4Z-AA87-01A,CARD11,AC091801.1
BLCA,TCGA-4Z-AA87-01A,CIRBP,CNN2
BLCA,TCGA-4Z-AA87-01A,LUC7L,SLC27A5
BLCA,TCGA-4Z-AA87-01A,MSI2,YPEL2
BLCA,TCGA-4Z-AA87-01A,PARD3,CUL2
BLCA,TCGA-4Z-AA87-01A,PTPN12,AC007000.1
BLCA,TCGA-4Z-AA87-01A,STK24,SLC15A1
BLCA,TCGA-4Z-AA87-01A,TAF3,APP
BLCA,TCGA-5N-A9KI-01A,PTP4A2,ARFGEF2
BLCA,TCGA-BL-A0C8-01A,ARL16,CSNK1D
BLCA,TCGA-BL-A0C8-01B,C10orf68,CCDC7
BLCA,TCGA-BL-A0C8-01A,CD151,EPS8L2
BLCA,TCGA-BL-A0C8-01A,DIP2B,SPATS2
BLCA,TCGA-BL-A0C8-01A,FREM1,SLAMF7
BLCA,TCGA-BL-A0C8-01A,GRHL2,FAM49A
BLCA,TCGA-BL-A0C8-01B,HPRT1,LRRC2
BLCA,TCGA-BL-A0C8-01A,KIAA0889,RPS6KA5
BLCA,TCGA-BL-A0C8-01A,MIER2,CDK5RAP1
BLCA,TCGA-BL-A0C8-01A,MRPS23,TRIM37
BLCA,TCGA-BL-A0C8-01A,NVL,LARS2
BLCA,TCGA-BL-A0C8-01A,PCP4L1,NDUFS2
BLCA,TCGA-BL-A0C8-01B,SLC45A2,AMACR
BLCA,TCGA-BL-A0C8-01A,SNX30,PXT1
