Tissue,Sample,Gene_A,Gene_B
SARC,TCGA-DX-A1L4-01A,ANO4,NTS
SARC,TCGA-DX-A1L4-01A,FRS2,THEMIS
SARC,TCGA-DX-A1L4-01A,GAS2L3,OS9
SARC,TCGA-DX-A1L4-01A,KITLG,ST8SIA6
SARC,TCGA-DX-A1L4-01A,MTHFD1L,IFT81
SARC,TCGA-DX-A1L4-01A,OSBPL8,FAM186A
SARC,TCGA-DX-A1L4-01A,PTPRR,CPM
SARC,TCGA-DX-A1L4-01A,REV3L,TMEM117
SARC,TCGA-DX-A1L4-01A,RP3-402G11.5,GRIP1
SARC,TCGA-DX-A1L4-01A,RSU1,FANCI
SARC,TCGA-DX-A1L4-01A,SASH1,STAB2
SARC,TCGA-DX-A1L4-01A,STAM,EPYC
SARC,TCGA-DX-A1L4-01A,TBK1,CDK19
SARC,TCGA-DX-A1L4-01A,TMEM117,PRIM1
SARC,TCGA-DX-A1L4-01A,TMTC2,HERC1
SARC,TCGA-DX-A1L4-01A,TMTC2,PTPRR
SARC,TCGA-DX-A1L4-01A,TUBA1C,TMEM116
SARC,TCGA-DX-A1L4-01A,USP30,STAB2
SARC,TCGA-DX-A1L4-01A,ZDHHC17,C10orf112
SARC,TCGA-DX-A1L4-01A,ZDHHC17,C12orf26
SARC,TCGA-DX-A23R-01A,ADAMTS7,AC087465.1
SARC,TCGA-DX-A23R-01A,ARHGEF7,EXOC4
SARC,TCGA-DX-A23R-01A,BACE2,TACR1
SARC,TCGA-DX-A23R-01A,CACNA1C,EEA1
SARC,TCGA-DX-A23R-01A,CACNA1C,SLC6A15
SARC,TCGA-DX-A23R-01A,CACNA1C,TSPAN8
SARC,TCGA-DX-A23R-01A,CDC73,SWT1
SARC,TCGA-DX-A23R-01A,CHD4,CPM
SARC,TCGA-DX-A23R-01A,CRADD,GRIP1
SARC,TCGA-DX-A23R-01A,DCTN2,EEA1
SARC,TCGA-DX-A23R-01A,DERA,DNAJA2
SARC,TCGA-DX-A23R-01A,EPHB3,PAX2
SARC,TCGA-DX-A23R-01A,FRS2,PLEKHG7
SARC,TCGA-DX-A23R-01A,JAK2,PKNOX2
SARC,TCGA-DX-A23R-01A,MKRN1,NLGN1
SARC,TCGA-DX-A23R-01A,N4BP1,EEA1
SARC,TCGA-DX-A23R-01A,N4BP1,NAV3
SARC,TCGA-DX-A23R-01A,PHKB,SCN8A
SARC,TCGA-DX-A23R-01A,PTPRK,PEX5L
SARC,TCGA-DX-A23R-01A,SYT1,PHKB
SARC,TCGA-DX-A23R-01A,USP15,SRGAP1
SARC,TCGA-DX-A23R-01A,ZNF385A,NAV3
SARC,TCGA-DX-A23R-01A,ZNF828,PTPRK
SARC,TCGA-DX-A23T-01A,AGAP2,PGC
SARC,TCGA-DX-A23T-01A,CPSF6,CPM
SARC,TCGA-DX-A23T-01A,GBF1,CTDSP2
SARC,TCGA-DX-A23T-01A,GBF1,TRPC6
SARC,TCGA-DX-A23T-01A,GLI3,PGC
SARC,TCGA-DX-A23T-01A,GNS,RASSF3
SARC,TCGA-DX-A23T-01A,UTRN,HEBP2
SARC,TCGA-DX-A23T-01A,YAP1,RNF130
SARC,TCGA-DX-A23U-01A,DAB1,OMA1
SARC,TCGA-DX-A23U-01A,DAB1,TTC22
SARC,TCGA-DX-A23U-01A,FGGY,ATP2B4
SARC,TCGA-DX-A23U-01A,PRPF3,OTUD7B
SARC,TCGA-DX-A23U-01A,RAB3B,PKN2
SARC,TCGA-DX-A23U-01A,SDK1,BRAT1
SARC,TCGA-DX-A23U-01A,TUBGCP5,ZCCHC11
SARC,TCGA-DX-A23U-01A,TUFT1,PKN2
SARC,TCGA-DX-A23U-01A,ZFYVE9,ECHDC2
SARC,TCGA-DX-A23V-01A,DAB1,C12orf63
SARC,TCGA-DX-A23V-01A,DRAM1,NTN4
SARC,TCGA-DX-A23V-01A,FGD6,TBC1D30
SARC,TCGA-DX-A23V-01A,MED13L,CDK17
SARC,TCGA-DX-A23V-01A,METTL21B,LTA4H
SARC,TCGA-DX-A23V-01A,PMM2,ABAT
SARC,TCGA-DX-A23V-01A,SYDE2,TCTN1
SARC,TCGA-DX-A23V-01A,TCTN1,CPM
SARC,TCGA-DX-A23V-01A,TCTN1,FGGY
SARC,TCGA-DX-A23V-01A,TRHDE,ANKS1B
SARC,TCGA-DX-A23V-01A,TSPAN31,WIF1
SARC,TCGA-DX-A23Y-01A,AC069214.1,KRR1
SARC,TCGA-DX-A23Y-01A,BEST3,C12orf28
SARC,TCGA-DX-A23Y-01A,C3orf26,KRT1
SARC,TCGA-DX-A23Y-01A,CCT2,DEPDC4
SARC,TCGA-DX-A23Y-01A,CPSF6,TSPAN31
SARC,TCGA-DX-A23Y-01A,ETV6,EPB41L2
SARC,TCGA-DX-A23Y-01A,NHSL1,PRDM1
SARC,TCGA-DX-A23Y-01A,POLH,C12orf71
SARC,TCGA-DX-A23Y-01A,PPIL4,CLEC4A
SARC,TCGA-DX-A23Y-01A,PPP1CC,KCNC2
SARC,TCGA-DX-A23Y-01A,PTK7,CNOT2
SARC,TCGA-DX-A23Y-01A,STAG1,ANKS1B
SARC,TCGA-DX-A23Y-01A,TRMT61A,NDUFA12
SARC,TCGA-DX-A23Y-01A,TSFM,FRS2
SARC,TCGA-DX-A23Y-01A,TTK,TMEM63B
SARC,TCGA-DX-A23Y-01A,ZNF354C,PRSS3
SARC,TCGA-DX-A23Z-01A,ARFGEF1,CCDC94
SARC,TCGA-DX-A23Z-01A,C12orf51,YAP1
SARC,TCGA-DX-A23Z-01A,PAAF1,NCR3
SARC,TCGA-DX-A23Z-01A,PPARD,SRGAP1
SARC,TCGA-DX-A23Z-01A,PTPN11,PLAGL1
SARC,TCGA-DX-A23Z-01A,RAB6A,MICA
SARC,TCGA-DX-A23Z-01A,RSPH3,NOTCH4
SARC,TCGA-DX-A23Z-01A,SC5DL,SPA17
SARC,TCGA-DX-A23Z-01A,SRGAP1,PTPRR
SARC,TCGA-DX-A23Z-01A,TMBIM4,PBX3
SARC,TCGA-DX-A23Z-01A,TRHDE,DPY19L2
SARC,TCGA-DX-A23Z-01A,TRIM27,PTPRR
SARC,TCGA-DX-A23Z-01A,ZMIZ1,CHST3
SARC,TCGA-DX-A240-01A,ADIPOR2,SLC2A13
SARC,TCGA-DX-A240-01A,C12orf5,CRP
SARC,TCGA-DX-A240-01A,CPNE8,PRMT8
SARC,TCGA-DX-A240-01A,DMD,TMEM117
SARC,TCGA-DX-A240-01A,MDM2,SLAMF9
SARC,TCGA-DX-A240-01A,NHS,F11R
SARC,TCGA-DX-A240-01A,NIT1,C12orf5
SARC,TCGA-DX-A240-01A,RBBP7,NDUFAF4
SARC,TCGA-DX-A240-01A,SLC2A13,ARHGDIB
SARC,TCGA-DX-A240-01A,SLC2A13,HSD17B6
SARC,TCGA-DX-A2IZ-01A,AHRR,AVIL
SARC,TCGA-DX-A2IZ-01A,APPL2,TUBA1C
SARC,TCGA-DX-A2IZ-01A,CCDC127,MUCL1
SARC,TCGA-DX-A2IZ-01A,CCL28,PLCXD3
SARC,TCGA-DX-A2IZ-01A,CHPT1,TXNRD1
SARC,TCGA-DX-A2IZ-01A,CHST11,PTPRR
SARC,TCGA-DX-A2IZ-01A,DAB1,DRAM1
SARC,TCGA-DX-A2IZ-01A,FAM19A2,TMBIM4
SARC,TCGA-DX-A2IZ-01A,FBXL7,NRD1
SARC,TCGA-DX-A2IZ-01A,FRS2,CPM
SARC,TCGA-DX-A2IZ-01A,GLT8D2,YY1
SARC,TCGA-DX-A2IZ-01A,GNPTAB,TRHDE
SARC,TCGA-DX-A2IZ-01A,NT5DC3,PTPRR
SARC,TCGA-DX-A2IZ-01A,PDCD6,FRS2
SARC,TCGA-DX-A2IZ-01A,PLXNC1,CCDC41
SARC,TCGA-DX-A2IZ-01A,PPP1R13B,WIBG
SARC,TCGA-DX-A2IZ-01A,RAB21,MYBPC1
SARC,TCGA-DX-A2IZ-01A,RAGE,MUCL1
SARC,TCGA-DX-A2IZ-01A,RAP1B,SCYL2
SARC,TCGA-DX-A2IZ-01A,SPRYD4,MDM1
SARC,TCGA-DX-A2IZ-01A,TMTC3,CEP290
SARC,TCGA-DX-A2IZ-01A,TRHDE,TBC1D15
SARC,TCGA-DX-A2IZ-01A,YY1,KIAA0748
SARC,TCGA-DX-A2J0-01A,BROX,SUSD4
SARC,TCGA-DX-A2J0-01A,C12orf26,GALNT9
SARC,TCGA-DX-A2J0-01A,C1orf9,C12orf42
SARC,TCGA-DX-A2J0-01A,C21orf91,GLT25D2
SARC,TCGA-DX-A2J0-01A,ELK3,CDK17
SARC,TCGA-DX-A2J0-01A,IRAK3,DYRK2
SARC,TCGA-DX-A2J0-01A,MDM1,NAV3
SARC,TCGA-DX-A2J0-01A,MPZL1,TNFSF4
SARC,TCGA-DX-A2J0-01A,SOAT1,AGAP2
SARC,TCGA-DX-A2J0-01A,TBX15,FMN2
SARC,TCGA-DX-A2J0-01A,TBX15,MAGI3
SARC,TCGA-DX-A2J0-01A,TRIO,TERT
SARC,TCGA-DX-A2J0-01A,ZDHHC17,NAV3
SARC,TCGA-DX-A2J1-01A,HMGA2,SARNP
SARC,TCGA-DX-A2J1-01A,MGST1,COL27A1
SARC,TCGA-DX-A2J1-01A,ORMDL2,SARNP
SARC,TCGA-DX-A2J1-01A,SRGAP1,TMEM5
SARC,TCGA-DX-A2J1-01A,ZBTB24,BEST3
SARC,TCGA-DX-A2J1-01A,ZDHHC17,MMP27
SARC,TCGA-DX-A2J4-01A,FRS2,C12orf66
SARC,TCGA-DX-A2J4-01A,GAS2L3,KRT2
SARC,TCGA-DX-A2J4-01A,HMGA2,PPFIA2
SARC,TCGA-DX-A2J4-01A,RPAP3,AVIL
SARC,TCGA-DX-A2J4-01A,RPAP3,KRT74
SARC,TCGA-DX-A2J4-01A,ZNF44,C12orf28
SARC,TCGA-DX-A2J4-01A,ZNF562,DTX3
SARC,TCGA-DX-A3LS-01A,ARHGAP10,EDNRA
SARC,TCGA-DX-A3LS-01A,ASH2L,CASS4
SARC,TCGA-DX-A3LS-01A,ATP2B1,EXOC4
SARC,TCGA-DX-A3LS-01A,C12orf65,EIF4EBP1
SARC,TCGA-DX-A3LS-01A,C6orf204,CSMD1
SARC,TCGA-DX-A3LS-01A,C6orf204,JAK2
SARC,TCGA-DX-A3LS-01A,C6orf204,TMEM120B
SARC,TCGA-DX-A3LS-01A,CAMSAP1,LCN8
SARC,TCGA-DX-A3LS-01A,CCDC92,MAN1A1
SARC,TCGA-DX-A3LS-01A,CCT2,KCNC2
SARC,TCGA-DX-A3LS-01A,CHCHD3,CSMD1
SARC,TCGA-DX-A3LS-01A,COPZ1,GNPTAB
SARC,TCGA-DX-A3LS-01A,ELK3,SBNO1
SARC,TCGA-DX-A3LS-01A,FGD5,SLC6A6
SARC,TCGA-DX-A3LS-01A,FMNL3,AGAP2
SARC,TCGA-DX-A3LS-01A,FRS2,SBNO1
SARC,TCGA-DX-A3LS-01A,GLIPR1L1,RAB3IP
SARC,TCGA-DX-A3LS-01A,GLIS3,TERT
SARC,TCGA-DX-A3LS-01A,HDAC11,CDH18
SARC,TCGA-DX-A3LS-01A,HVCN1,GOLGA3
SARC,TCGA-DX-A3LS-01A,KDM2B,LRRIQ1
SARC,TCGA-DX-A3LS-01A,MAN1A1,FMNL3
SARC,TCGA-DX-A3LS-01A,MCRS1,SRRM4
SARC,TCGA-DX-A3LS-01A,MLXIP,ANKS1B
SARC,TCGA-DX-A3LS-01A,MLXIP,ASH2L
SARC,TCGA-DX-A3LS-01A,MLXIP,TSPAN8
SARC,TCGA-DX-A3LS-01A,NCOA6,LSM1
SARC,TCGA-DX-A3LS-01A,NCOR2,NUP37
SARC,TCGA-DX-A3LS-01A,PITPNM2,ARHGEF25
SARC,TCGA-DX-A3LS-01A,RAB3IP,CCDC92
SARC,TCGA-DX-A3LS-01A,SEC16A,RXRA
SARC,TCGA-DX-A3LS-01A,TACC1,MYBPC1
SARC,TCGA-DX-A3LS-01A,TRHDE,C12orf75
SARC,TCGA-DX-A3LS-01A,TSPAN8,ASH2L
SARC,TCGA-DX-A3LS-01A,ZNF71,C12orf28
SARC,TCGA-DX-A3LS-01A,ZNF71,HSPB8
SARC,TCGA-DX-A3LT-01A,ANO5,CARS
SARC,TCGA-DX-A3LT-01A,ARNTL,RIC8B
SARC,TCGA-DX-A3LT-01A,CARS,TSHZ3
SARC,TCGA-DX-A3LT-01A,FAR1,C3orf55
SARC,TCGA-DX-A3LT-01A,HDAC7,SRGAP1
SARC,TCGA-DX-A3LT-01A,LDLRAD3,AC091196.1
SARC,TCGA-DX-A3LT-01A,9-Mar,YEATS4
SARC,TCGA-DX-A3LT-01A,NAP1L1,PTPRR
SARC,TCGA-DX-A3LT-01A,PIWIL4,THRSP
SARC,TCGA-DX-A3LT-01A,PTPRR,SLC6A15
SARC,TCGA-DX-A3LT-01A,SLC6A15,C12orf28
SARC,TCGA-DX-A3LT-01A,TMTC3,TMEM19
SARC,TCGA-DX-A3LT-01A,ZDHHC13,MGAT4C
SARC,TCGA-DX-A3LT-01A,ZNRF3,FAM19A5
SARC,TCGA-DX-A3LU-01A,UBR2,BYSL
SARC,TCGA-DX-A3LU-01A,USP49,APOBEC2
SARC,TCGA-DX-A3LU-01A,ZDHHC17,NCR2
SARC,TCGA-DX-A3LU-01A,ZNF318,CD2AP
SARC,TCGA-DX-A3LW-01A,CDK2,PAN2
SARC,TCGA-DX-A3LW-01A,EVI5L,PGPEP1
SARC,TCGA-DX-A3LW-01A,RBM39,CRYZL1
SARC,TCGA-DX-A3LY-01B,ANKRD52,RP11-362K2.2
SARC,TCGA-DX-A3LY-01B,ARHGDIA,ACVRL1
SARC,TCGA-DX-A3LY-01B,CD55,RGS21
SARC,TCGA-DX-A3LY-01B,DCTN2,SRGAP1
SARC,TCGA-DX-A3LY-01B,DGKD,NDUFA10
SARC,TCGA-DX-A3LY-01B,DTNB,EXOC4
SARC,TCGA-DX-A3LY-01B,FRS2,CHMP1A
SARC,TCGA-DX-A3LY-01B,FRS2,RER1
SARC,TCGA-DX-A3LY-01B,HDX,ERICH1
SARC,TCGA-DX-A3LY-01B,NTRK1,DYNC2H1
SARC,TCGA-DX-A3LY-01B,OSBPL8,ZDHHC17
SARC,TCGA-DX-A3LY-01B,PA2G4,MARK1
SARC,TCGA-DX-A3LY-01B,SH3RF2,MDM1
SARC,TCGA-DX-A3LY-01B,SP100,GIGYF2
SARC,TCGA-DX-A3LY-01B,STK40,OSCP1
SARC,TCGA-DX-A3LY-01B,USP12,NXF3
SARC,TCGA-DX-A3M1-01A,ABCA9,CEP112
SARC,TCGA-DX-A3M1-01A,AC010859.1,MATN2
SARC,TCGA-DX-A3M1-01A,AP002478.1,CRYBA1
SARC,TCGA-DX-A3M1-01A,AUH,CPM
SARC,TCGA-DX-A3M1-01A,C12orf56,APPL2
SARC,TCGA-DX-A3M1-01A,C12orf63,CPM
SARC,TCGA-DX-A3M1-01A,C12orf63,SLC5A8
SARC,TCGA-DX-A3M1-01A,CASC3,HNF1B
SARC,TCGA-DX-A3M1-01A,CCNT2,ACMSD
SARC,TCGA-DX-A3M1-01A,CEP290,VEZT
SARC,TCGA-DX-A3M1-01A,CPD,TMEM132E
SARC,TCGA-DX-A3M1-01A,CRAT,TTLL11
SARC,TCGA-DX-A3M1-01A,CSMD3,ADCY8
SARC,TCGA-DX-A3M1-01A,EDA,TEX11
SARC,TCGA-DX-A3M1-01A,FAM129B,C16orf62
SARC,TCGA-DX-A3M1-01A,FRS2,C12orf63
SARC,TCGA-DX-A3M1-01A,FRS2,HMGA2
SARC,TCGA-DX-A3M1-01A,HMGA2,NR2C1
SARC,TCGA-DX-A3M1-01A,KIAA1377,SHANK2
SARC,TCGA-DX-A3M1-01A,LAMA2,UQCRB
SARC,TCGA-DX-A3M1-01A,MAN2A1,TRIM9
SARC,TCGA-DX-A3M1-01A,MAP3K4,XAF1
SARC,TCGA-DX-A3M1-01A,METTL16,CLEC10A
SARC,TCGA-DX-A3M1-01A,MPRIP,TNFRSF13B
SARC,TCGA-DX-A3M1-01A,NDUFB9,CSMD3
SARC,TCGA-DX-A3M1-01A,NEDD1,TMTC2
SARC,TCGA-DX-A3M1-01A,NF1,ACCN1
SARC,TCGA-DX-A3M1-01A,NTN4,NUP107
SARC,TCGA-DX-A3M1-01A,NTN4,TRHDE
SARC,TCGA-DX-A3M1-01A,RAPGEF5,BAALC
SARC,TCGA-DX-A3M1-01A,RUNX1T1,E2F5
SARC,TCGA-DX-A3M1-01A,SKA2,HEATR6
SARC,TCGA-DX-A3M1-01A,SMARCC1,USP32
SARC,TCGA-DX-A3M1-01A,STAT5B,ODZ4
SARC,TCGA-DX-A3M1-01A,TMTC2,BTBD11
SARC,TCGA-DX-A3M1-01A,TMTC3,SLC35E3
SARC,TCGA-DX-A3M1-01A,TMTC3,SLC6A15
SARC,TCGA-DX-A3M1-01A,TNFRSF13B,MPRIP
SARC,TCGA-DX-A3M1-01A,VEZT,C12orf29
SARC,TCGA-DX-A3M1-01A,VPS13B,STAU2
SARC,TCGA-DX-A3M1-01A,VPS53,TXNDC17
SARC,TCGA-DX-A3M1-01A,WWP1,UTP23
SARC,TCGA-DX-A3M1-01A,ZNF292,MAP3K4
SARC,TCGA-DX-A3M2-01A,CRAMP1L,TMEM204
SARC,TCGA-DX-A3U5-01A,ATP2B1,DCDC2
SARC,TCGA-DX-A3U5-01A,BTBD11,CMKLR1
SARC,TCGA-DX-A3U5-01A,BTBD2,KIAA1109
SARC,TCGA-DX-A3U5-01A,C12orf51,BTBD11
SARC,TCGA-DX-A3U5-01A,C12orf51,LTA4H
SARC,TCGA-DX-A3U5-01A,CSNK1G2,PDE5A
SARC,TCGA-DX-A3U5-01A,CSRP2,CTD-2021H9.3
SARC,TCGA-DX-A3U5-01A,FRS2,KIF5A
SARC,TCGA-DX-A3U5-01A,FRS2,SBF2
SARC,TCGA-DX-A3U5-01A,GNL1,REPS1
SARC,TCGA-DX-A3U5-01A,GRM1,CNOT2
SARC,TCGA-DX-A3U5-01A,IFT81,TSPAN8
SARC,TCGA-DX-A3U5-01A,KIAA1109,NFKB1
SARC,TCGA-DX-A3U5-01A,LTA4H,BTBD11
SARC,TCGA-DX-A3U5-01A,LTBP1,UCMA
SARC,TCGA-DX-A3U5-01A,MDM1,PDZRN4
SARC,TCGA-DX-A3U5-01A,NDUFA9,C12orf4
SARC,TCGA-DX-A3U5-01A,PLXNC1,TXNRD1
SARC,TCGA-DX-A3U5-01A,PTPRR,RP11-536G4.1
SARC,TCGA-DX-A3U5-01A,RSF1,PRRC2C
SARC,TCGA-DX-A3U5-01A,SART3,PAH
SARC,TCGA-DX-A3U5-01A,SH2B3,ATXN2
SARC,TCGA-DX-A3U5-01A,TMTC2,LYZ
SARC,TCGA-DX-A3U5-01A,UHRF1BP1L,ZDHHC17
SARC,TCGA-DX-A3U6-01A,C6orf170,RPF2
SARC,TCGA-DX-A3U6-01A,CNTN2,PKP1
SARC,TCGA-DX-A3U6-01A,DNM3,TPH2
SARC,TCGA-DX-A3U6-01A,DYRK2,CNTN2
SARC,TCGA-DX-A3U6-01A,FRS2,NUP107
SARC,TCGA-DX-A3U6-01A,LRP1,CAND1
SARC,TCGA-DX-A3U6-01A,MSRB3,ACTR5
SARC,TCGA-DX-A3U6-01A,NUP107,PAAF1
SARC,TCGA-DX-A3U6-01A,PRRC2C,AP000350.4
SARC,TCGA-DX-A3U6-01A,ROBO2,TNNT2
SARC,TCGA-DX-A3U7-01A,AGAP1,ATG4B
SARC,TCGA-DX-A3U7-01A,PID1,MRPS6
SARC,TCGA-DX-A3U9-01A,MYL6,ABI3BP
SARC,TCGA-DX-A3U9-01A,SCARA3,TPM2
SARC,TCGA-DX-A3UA-01A,ACAD11,ABCE1
SARC,TCGA-DX-A3UA-01A,CTD-2368P22.1,LRP3
SARC,TCGA-DX-A3UA-01A,ITSN1,HNRNPUL1
SARC,TCGA-DX-A3UA-01A,MECOM,CD86
SARC,TCGA-DX-A3UA-01A,PPA2,C4orf37
SARC,TCGA-DX-A3UA-01A,PPP3CA,HMGXB3
SARC,TCGA-DX-A3UA-01A,SEC61A1,INPP4B
SARC,TCGA-DX-A3UA-01A,SETD7,ACAD11
SARC,TCGA-DX-A3UB-01A,TOM1,ARFGEF2
SARC,TCGA-DX-A3UC-01A,KDM6A,RPS6KA3
SARC,TCGA-DX-A3UC-01A,RPS6KA3,KDM6A
SARC,TCGA-DX-A3UC-01A,WDR62,LRFN3
SARC,TCGA-DX-A3UD-01A,VCL,C10orf11
SARC,TCGA-DX-A3UF-01A,FAM126B,COQ10B
SARC,TCGA-DX-A3UF-01A,RB1,CLEC2B
SARC,TCGA-DX-A48J-01A,CSRP1,PALLD
SARC,TCGA-DX-A48J-01A,NBEA,BRCA2
SARC,TCGA-DX-A48L-01A,A2LD1,INCA1
SARC,TCGA-DX-A48L-01A,CALD1,THSD4
SARC,TCGA-DX-A48L-01A,USP14,NOL4
SARC,TCGA-DX-A48N-01A,C12orf26,ATP2B1
SARC,TCGA-DX-A48N-01A,CCDC91,PTK2
SARC,TCGA-DX-A48N-01A,CDKAL1,JARID2
SARC,TCGA-DX-A48N-01A,ENTPD5,TSHR
SARC,TCGA-DX-A48N-01A,FAM134C,KIAA0100
SARC,TCGA-DX-A48N-01A,GPC1,XRCC6BP1
SARC,TCGA-DX-A48N-01A,HIVEP2,MAP7
SARC,TCGA-DX-A48N-01A,NSMCE2,TAF2
SARC,TCGA-DX-A48N-01A,NUAK1,UHRF1BP1L
SARC,TCGA-DX-A48N-01A,OSTF1,SMARCA4
SARC,TCGA-DX-A48N-01A,PLEKHA5,UHRF1
SARC,TCGA-DX-A48N-01A,PTAR1,PIP5K1B
SARC,TCGA-DX-A48N-01A,SLC41A2,DNM3
SARC,TCGA-DX-A48N-01A,SWT1,GLT25D2
SARC,TCGA-DX-A48N-01A,TMEM2,HMCN1
SARC,TCGA-DX-A48N-01A,TMTC1,YEATS4
SARC,TCGA-DX-A48N-01A,TMTC2,GNA14
SARC,TCGA-DX-A48N-01A,TTLL5,TCP11L2
SARC,TCGA-DX-A48N-01A,TXNRD1,SLC41A2
SARC,TCGA-DX-A48N-01A,UBQLN1,NAV3
SARC,TCGA-DX-A48N-01A,UTRN,OSTF1
SARC,TCGA-DX-A48N-01A,ZNF407,CYB5A
SARC,TCGA-DX-A48N-01A,ZNF493,TMBIM4
SARC,TCGA-DX-A48O-01A,ARFGEF1,SORCS2
SARC,TCGA-DX-A48P-01A,PAIP2,SIL1
SARC,TCGA-DX-A48P-01A,SIL1,PAIP2
SARC,TCGA-DX-A48P-01A,UBTF,FOXP1
SARC,TCGA-DX-A48P-01A,YARS,ANKRD17
SARC,TCGA-DX-A48R-01A,GRK5,SUMF1
SARC,TCGA-DX-A48U-01A,NLGN4Y,SHISA6
SARC,TCGA-DX-A48U-01A,PABPC4,MACF1
SARC,TCGA-DX-A6B8-01A,COBLL1,FMNL2
SARC,TCGA-DX-A6B8-01A,XRN2,RIN2
SARC,TCGA-DX-A6B9-01A,AP1M1,PYCR1
SARC,TCGA-DX-A6B9-01A,CHFR,ZNF565
SARC,TCGA-DX-A6B9-01A,DOT1L,PSG11
SARC,TCGA-DX-A6B9-01A,PYCR1,BRI3BP
SARC,TCGA-DX-A6B9-01A,TPM2,NDUFV1
SARC,TCGA-DX-A6BA-01A,CNN1,CBS
SARC,TCGA-DX-A6BA-01A,SH3BGRL,CBS
SARC,TCGA-DX-A6BB-01A,CLU,SF3B2
SARC,TCGA-DX-A6BB-01A,TAGLN,VPS24
SARC,TCGA-DX-A6BE-01A,ARID2,PTPRB
SARC,TCGA-DX-A6BE-01A,C9orf41,KIF21A
SARC,TCGA-DX-A6BE-01A,HMGA2,C1orf87
SARC,TCGA-DX-A6BE-01A,LEMD3,LYZ
SARC,TCGA-DX-A6BE-01A,NAP1L1,OSTF1
SARC,TCGA-DX-A6BE-01A,ZCCHC6,WIF1
SARC,TCGA-DX-A6BE-01A,ZNF562,SARNP
SARC,TCGA-DX-A6BF-01A,ACVR2A,AC010859.1
SARC,TCGA-DX-A6BF-01A,ARL1,UBE2N
SARC,TCGA-DX-A6BF-01A,CCNK,ZNF365
SARC,TCGA-DX-A6BF-01A,FRS2,C1orf141
SARC,TCGA-DX-A6BF-01A,FRS2,GLIPR1L2
SARC,TCGA-DX-A6BF-01A,RAB3IP,BEST3
SARC,TCGA-DX-A6BF-01A,TMTC3,C12orf29
SARC,TCGA-DX-A6BG-01A,AGAP2,CNOT2
SARC,TCGA-DX-A6BG-01A,BRP44,DNM3
SARC,TCGA-DX-A6BG-01A,BRP44,NUDT12
SARC,TCGA-DX-A6BG-01A,C12orf26,CPM
SARC,TCGA-DX-A6BG-01A,CCT2,CACNG3
SARC,TCGA-DX-A6BG-01A,DNM3,CD247
SARC,TCGA-DX-A6BG-01A,FRS2,ZFC3H1
SARC,TCGA-DX-A6BG-01A,GPR161,EFTUD1
SARC,TCGA-DX-A6BG-01A,HMGA2,DAB1
SARC,TCGA-DX-A6BG-01A,ITGB6,CNOT2
SARC,TCGA-DX-A6BG-01A,MYLK,VAMP4
SARC,TCGA-DX-A6BG-01A,NOTCH1,UHRF1BP1L
SARC,TCGA-DX-A6BG-01A,OSMR,DNM3
SARC,TCGA-DX-A6BG-01A,SFT2D2,GPR161
SARC,TCGA-DX-A6BG-01A,TBC1D15,CNOT2
SARC,TCGA-DX-A6BG-01A,TOP1,LYZ
SARC,TCGA-DX-A6BG-01A,UHRF1BP1L,CACNG3
SARC,TCGA-DX-A6BG-01A,UHRF1BP1L,XRCC6BP1
SARC,TCGA-DX-A6BG-01A,ZEB1,SYT1
SARC,TCGA-DX-A6BH-01A,AASS,DNM3
SARC,TCGA-DX-A6BH-01A,CADPS2,XRCC6BP1
SARC,TCGA-DX-A6BH-01A,CPSF6,GRM8
SARC,TCGA-DX-A6BH-01A,DLD,SHPRH
SARC,TCGA-DX-A6BH-01A,DNM3,SHISA9
SARC,TCGA-DX-A6BH-01A,FOXK2,APOBEC1
SARC,TCGA-DX-A6BH-01A,FOXP2,EPM2A
SARC,TCGA-DX-A6BH-01A,FRS2,AKAP12
SARC,TCGA-DX-A6BH-01A,FRS2,RFWD2
SARC,TCGA-DX-A6BH-01A,KIAA1244,MED20
SARC,TCGA-DX-A6BH-01A,KIAA1244,RFWD2
SARC,TCGA-DX-A6BH-01A,RFWD2,GRM1
SARC,TCGA-DX-A6BH-01A,SRI,PIP4K2C
SARC,TCGA-DX-A6BH-01A,TNFAIP3,IL26
SARC,TCGA-DX-A6BH-01A,TRERF1,GPR111
SARC,TCGA-DX-A6BH-01A,UBE2H,LMX1A
SARC,TCGA-DX-A6BH-01A,UTRN,KIAA1244
SARC,TCGA-DX-A6BH-01A,UTRN,LAMB4
SARC,TCGA-DX-A6YQ-01A,AXL,SQSTM1
SARC,TCGA-DX-A6YQ-01A,HEATR2,LAMA5
SARC,TCGA-DX-A6YQ-01A,RGS17,PDLIM5
SARC,TCGA-DX-A6YR-01A,CRYM,XYLT1
SARC,TCGA-DX-A6YR-01A,FAM98A,BRE
SARC,TCGA-DX-A6YR-01A,GRID1,AFAP1L2
SARC,TCGA-DX-A6YR-01A,HMBOX1,MCM3
SARC,TCGA-DX-A6YR-01A,NRIP1,DSCAM
SARC,TCGA-DX-A6YR-01A,PBX1,RFWD2
SARC,TCGA-DX-A6YR-01A,PPP6R2,AURKC
SARC,TCGA-DX-A6YR-01A,USP38,RIT2
SARC,TCGA-DX-A6YS-01A,APPBP2,SETD2
SARC,TCGA-DX-A6YS-01A,ATAD5,QRICH1
SARC,TCGA-DX-A6YS-01A,CCDC73,SLC15A4
